其他地区,#genre#
北京卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-beijingstv/HD-2500k-1080P-beijingstv#http://ivi.bupt.edu.cn/hls/btv1.m3u8#http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227694/index.m3u8#http://223.82.250.72/live/hdbeijingstv/1.m3u8
辽宁卫视,http://183.207.248.71:80/cntv/live1/liaoningstv/liaoningstv#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229112/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8#http://ivi.bupt.edu.cn/hls/lnhd.m3u8#http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8#http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/liaoningstv/1.m3u8
安徽卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv#http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8#http://219.153.252.50/PLTV/88888888/224/3221225534/chunklist.m3u8
山东卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv#http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8#http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
广东卫视,http://183.207.248.71:80/cntv/live1/n-guangdongstv/n-guangdongstv
古装剧场,http://183.207.248.71:80/cntv/live1/n-guzhuangjc/n-guzhuangjc
动作电影,http://183.207.248.71:80/cntv/live1/n-dongzuody/n-dongzuody
家庭剧场,http://183.207.248.71:80/cntv/live1/n-jiatingjc/n-jiatingjc
惊悚电影,http://183.207.248.71:80/cntv/live1/n-jingsongxy/n-jingsongxy
潮妈辣婆,http://183.207.248.71:80/cntv/live1/n-cmlapo/n-cmlapo
黑莓电影,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie

iviHDTV,#genre#
劲爆体育,http://183.207.255.188/live/program/live/jbtyhd/4000000/mnf.m3u8
新视觉台,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8

jsPLTV,#genre#
CCTV-2财经,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-5+体育赛事,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8
CCTV-7国防军事,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8
CCTV-9记录,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8
CCTV-10科教,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8
CCTV-11戏曲,http://223.110.245.152/ott.js.chinamobile.com/PLTV/3/224/3221227384/index.m3u8
CCTV-12社会与法,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227655/index.m3u8
CCTV-14少儿,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227656/index.m3u8

TVupdate,#genre#
翡翠台,http://8rr.co/5FyJ

